        PROGRAM D2500     ZERO LIFT WAVE DRAG
   CONFIGURATION DESCRIPTION

 SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  

 Entering subroutine OVL10 (START)
  SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  


CYCLE=  1    FUSELAGE SEGMENT  1    AREA DISTRIBUTION (D/Q = 57.62218)
       35    17.5000     0.0000     5.7746   104.7600
       36    18.0000     0.0000     5.9040   109.5086
       37    18.5000     0.0000     6.0314   114.2829
       38    19.0000     0.0000     6.1566   119.0773
       39    19.5000     0.0000     6.2796   123.8856
       40    20.0000     0.0000     6.4005   128.7000
       41    20.5000     0.0000     6.5190   133.5098
       42    21.0000     0.0000     6.6354   138.3180
       43    21.5000     0.0000     6.7497   143.1247
       44    22.0000     0.0000     6.8620   147.9281
       45    22.5000     0.0000     6.9724   152.7258
       46    23.0000     0.0000     7.0809   157.5152
       47    23.5000     0.0000     7.1875   162.2935
       48    24.0000     0.0000     7.2922   167.0574
       49    24.5000     0.0000     7.3951   171.8038
       50    25.0000     0.0000     7.4961   176.5293
       51    25.5000     0.0000     7.5952   181.2303
       52    26.0000     0.0000     7.6925   185.9031
       53    26.5000     0.0000     7.7879   190.5437
       54    27.0000     0.0000     7.8815   195.1479
       55    27.5000     0.0000     7.9731   199.7111
       56    28.0000     0.0000     8.0627   204.2283
       57    28.5000     0.0000     8.1504   208.6938
       58    29.0000     0.0000     8.2360   213.1010
       59    29.5000     0.0000     8.3195   217.4410
       60    30.0000     0.0000     8.4006   221.7000
       61    30.5000     0.0000     8.4789   225.8547
       62    31.0000     0.0000     8.5549   229.9230
       63    31.5000     0.0000     8.6289   233.9141
       64    32.0000     0.0000     8.7008   237.8313
       65    32.5000     0.0000     8.7709   241.6761
       66    33.0000     0.0000     8.8391   245.4489
       67    33.5000     0.0000     8.9054   249.1492
       68    34.0000     0.0000     8.9700   252.7762
       69    34.5000     0.0000     9.0328   256.3285
       70    35.0000     0.0000     9.0939   259.8040
       71    35.5000     0.0000     9.1531   263.2005
       72    36.0000     0.0000     9.2106   266.5153
       73    36.5000     0.0000     9.2662   269.7451
       74    37.0000     0.0000     9.3200   272.8860
       75    37.5000     0.0000     9.3719   275.9333
       76    38.0000     0.0000     9.4218   278.8817
       77    38.5000     0.0000     9.4697   281.7242
       78    39.0000     0.0000     9.5155   284.4518
       79    39.5000     0.0000     9.5588   287.0517
       80    40.0000     0.0000     9.5995   289.5000
       81    40.5000     0.0000     9.6368   291.7545
       82    41.0000     0.0000     9.6715   293.8564
       83    41.5000     0.0000     9.7039   295.8289
       84    42.0000     0.0000     9.7343   297.6841
       85    42.5000     0.0000     9.7628   299.4298
       86    43.0000     0.0000     9.7895   301.0721
       87    43.5000     0.0000     9.8146   302.6155
       88    44.0000     0.0000     9.8380   304.0637
       89    44.5000     0.0000     9.8599   305.4193
       90    45.0000     0.0000     9.8803   306.6844
       91    45.5000     0.0000     9.8992   307.8606
       92    46.0000     0.0000     9.9167   308.9485
       93    46.5000     0.0000     9.9328   309.9483
       94    47.0000     0.0000     9.9473   310.8593
       95    47.5000     0.0000     9.9605   311.6799
       96    48.0000     0.0000     9.9721   312.4069
       97    48.5000     0.0000     9.9821   313.0349
       98    49.0000     0.0000     9.9904   313.5548
       99    49.5000     0.0000     9.9966   313.9485
      100    50.0000     0.0000    10.0000   314.1600
  SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  


CYCLE=  1    FUSELAGE SEGMENT  2    AREA DISTRIBUTION (D/Q =  0.00000)

        N        X          Z          R          S
        0    50.0000     0.0000    10.0000   314.1600
        1    52.0000     0.0000    10.0000   314.1600
        2    54.0000     0.0000    10.0000   314.1600
        3    56.0000     0.0000    10.0000   314.1600
        4    58.0000     0.0000    10.0000   314.1600
        5    60.0000     0.0000    10.0000   314.1600
        6    62.0000     0.0000    10.0000   314.1600
        7    64.0000     0.0000    10.0000   314.1600
        8    66.0000     0.0000    10.0000   314.1600
        9    68.0000     0.0000    10.0000   314.1600
       10    70.0000     0.0000    10.0000   314.1600
       11    72.0000     0.0000    10.0000   314.1600
       12    74.0000     0.0000    10.0000   314.1600
       13    76.0000     0.0000    10.0000   314.1600
       14    78.0000     0.0000    10.0000   314.1600
       15    80.0000     0.0000    10.0000   314.1600
       16    82.0000     0.0000    10.0000   314.1600
       17    84.0000     0.0000    10.0000   314.1600
       18    86.0000     0.0000    10.0000   314.1600
       19    88.0000     0.0000    10.0000   314.1600
       20    90.0000     0.0000    10.0000   314.1600
       21    92.0000     0.0000    10.0000   314.1600
       22    94.0000     0.0000    10.0000   314.1600
       23    96.0000     0.0000    10.0000   314.1600
       24    98.0000     0.0000    10.0000   314.1600
       25   100.0000     0.0000    10.0000   314.1600
       26   102.0000     0.0000    10.0000   314.1600
       27   104.0000     0.0000    10.0000   314.1600
       28   106.0000     0.0000    10.0000   314.1600
       29   108.0000     0.0000    10.0000   314.1600
       30   110.0000     0.0000    10.0000   314.1600
       31   112.0000     0.0000    10.0000   314.1600
       32   114.0000     0.0000    10.0000   314.1600
       33   116.0000     0.0000    10.0000   314.1600
       34   118.0000     0.0000    10.0000   314.1600
       35   120.0000     0.0000    10.0000   314.1600
       36   122.0000     0.0000    10.0000   314.1600
       37   124.0000     0.0000    10.0000   314.1600
       38   126.0000     0.0000    10.0000   314.1600
       39   128.0000     0.0000    10.0000   314.1600
       40   130.0000     0.0000    10.0000   314.1600
       41   132.0000     0.0000    10.0000   314.1600
       42   134.0000     0.0000    10.0000   314.1600
       43   136.0000     0.0000    10.0000   314.1600
       44   138.0000     0.0000    10.0000   314.1600
       45   140.0000     0.0000    10.0000   314.1600
       46   142.0000     0.0000    10.0000   314.1600
       47   144.0000     0.0000    10.0000   314.1600
       48   146.0000     0.0000    10.0000   314.1600
       49   148.0000     0.0000    10.0000   314.1600
       50   150.0000     0.0000    10.0000   314.1600
       51   152.0000     0.0000    10.0000   314.1600
       52   154.0000     0.0000    10.0000   314.1600
       53   156.0000     0.0000    10.0000   314.1600
       54   158.0000     0.0000    10.0000   314.1600
       55   160.0000     0.0000    10.0000   314.1600
       56   162.0000     0.0000    10.0000   314.1600
       57   164.0000     0.0000    10.0000   314.1600
       58   166.0000     0.0000    10.0000   314.1600
       59   168.0000     0.0000    10.0000   314.1600
       60   170.0000     0.0000    10.0000   314.1600
       61   172.0000     0.0000    10.0000   314.1600
       62   174.0000     0.0000    10.0000   314.1600
       63   176.0000     0.0000    10.0000   314.1600
       64   178.0000     0.0000    10.0000   314.1600
       65   180.0000     0.0000    10.0000   314.1600
       66   182.0000     0.0000    10.0000   314.1600
       67   184.0000     0.0000    10.0000   314.1600
       68   186.0000     0.0000    10.0000   314.1600
       69   188.0000     0.0000    10.0000   314.1600
       70   190.0000     0.0000    10.0000   314.1600
       71   192.0000     0.0000    10.0000   314.1600
       72   194.0000     0.0000    10.0000   314.1600
       73   196.0000     0.0000    10.0000   314.1600
       74   198.0000     0.0000    10.0000   314.1600
       75   200.0000     0.0000    10.0000   314.1600
       76   202.0000     0.0000    10.0000   314.1600
       77   204.0000     0.0000    10.0000   314.1600
       78   206.0000     0.0000    10.0000   314.1600
       79   208.0000     0.0000    10.0000   314.1600
       80   210.0000     0.0000    10.0000   314.1600
       81   212.0000     0.0000    10.0000   314.1600
       82   214.0000     0.0000    10.0000   314.1600
       83   216.0000     0.0000    10.0000   314.1600
       84   218.0000     0.0000    10.0000   314.1600
       85   220.0000     0.0000    10.0000   314.1600
       86   222.0000     0.0000    10.0000   314.1600
       87   224.0000     0.0000    10.0000   314.1600
       88   226.0000     0.0000    10.0000   314.1600
       89   228.0000     0.0000    10.0000   314.1600
       90   230.0000     0.0000    10.0000   314.1600
       91   232.0000     0.0000    10.0000   314.1600
       92   234.0000     0.0000    10.0000   314.1600
       93   236.0000     0.0000    10.0000   314.1600
       94   238.0000     0.0000    10.0000   314.1600
       95   240.0000     0.0000    10.0000   314.1600
       96   242.0000     0.0000    10.0000   314.1600
       97   244.0000     0.0000    10.0000   314.1600
       98   246.0000     0.0000    10.0000   314.1600
       99   248.0000     0.0000    10.0000   314.1600
      100   250.0000     0.0000    10.0000   314.1600
  SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  


CYCLE=  1    FUSELAGE SEGMENT  3    AREA DISTRIBUTION (D/Q = 57.62218)

        N        X          Z          R          S
        0   250.0000     0.0000    10.0000   314.1600
        1   250.5000     0.0000     9.9966   313.9486
        2   251.0000     0.0000     9.9904   313.5548
        3   251.5000     0.0000     9.9821   313.0350
        4   252.0000     0.0000     9.9721   312.4069
        5   252.5000     0.0000     9.9605   311.6799
        6   253.0000     0.0000     9.9473   310.8593
        7   253.5000     0.0000     9.9328   309.9483
        8   254.0000     0.0000     9.9167   308.9485
        9   254.5000     0.0000     9.8992   307.8606
       10   255.0000     0.0000     9.8803   306.6844
       11   255.5000     0.0000     9.8599   305.4193
       12   256.0000     0.0000     9.8380   304.0637
       13   256.5000     0.0000     9.8146   302.6155
       14   257.0000     0.0000     9.7895   301.0721
       15   257.5000     0.0000     9.7628   299.4298
       16   258.0000     0.0000     9.7343   297.6841
       17   258.5000     0.0000     9.7039   295.8290
       18   259.0000     0.0000     9.6715   293.8564
       19   259.5000     0.0000     9.6368   291.7545
       20   260.0000     0.0000     9.5995   289.5000
       21   260.5000     0.0000     9.5588   287.0517
       22   261.0000     0.0000     9.5155   284.4518
       23   261.5000     0.0000     9.4697   281.7242
       24   262.0000     0.0000     9.4218   278.8817
       25   262.5000     0.0000     9.3719   275.9333
       26   263.0000     0.0000     9.3200   272.8860
       27   263.5000     0.0000     9.2662   269.7451
       28   264.0000     0.0000     9.2106   266.5154
       29   264.5000     0.0000     9.1531   263.2005
       30   265.0000     0.0000     9.0939   259.8040
       31   265.5000     0.0000     9.0328   256.3285
       32   266.0000     0.0000     8.9700   252.7762
       33   266.5000     0.0000     8.9054   249.1492
       34   267.0000     0.0000     8.8391   245.4489
       35   267.5000     0.0000     8.7709   241.6761
       36   268.0000     0.0000     8.7008   237.8313
       37   268.5000     0.0000     8.6289   233.9141
       38   269.0000     0.0000     8.5549   229.9231
       39   269.5000     0.0000     8.4789   225.8547
       40   270.0000     0.0000     8.4006   221.7000
       41   270.5000     0.0000     8.3195   217.4411
       42   271.0000     0.0000     8.2360   213.1010
       43   271.5000     0.0000     8.1504   208.6938
       44   272.0000     0.0000     8.0627   204.2283
       45   272.5000     0.0000     7.9731   199.7111
       46   273.0000     0.0000     7.8815   195.1479
       47   273.5000     0.0000     7.7879   190.5437
       48   274.0000     0.0000     7.6925   185.9031
       49   274.5000     0.0000     7.5952   181.2303
       50   275.0000     0.0000     7.4961   176.5293
       51   275.5000     0.0000     7.3951   171.8038
       52   276.0000     0.0000     7.2922   167.0574
       53   276.5000     0.0000     7.1875   162.2935
       54   277.0000     0.0000     7.0809   157.5153
       55   277.5000     0.0000     6.9724   152.7258
       56   278.0000     0.0000     6.8620   147.9281
       57   278.5000     0.0000     6.7497   143.1247
       58   279.0000     0.0000     6.6354   138.3181
       59   279.5000     0.0000     6.5190   133.5098
       60   280.0000     0.0000     6.4005   128.7000
       61   280.5000     0.0000     6.2796   123.8856
       62   281.0000     0.0000     6.1566   119.0773
       63   281.5000     0.0000     6.0314   114.2829
       64   282.0000     0.0000     5.9040   109.5087
       65   282.5000     0.0000     5.7746   104.7600
       66   283.0000     0.0000     5.6431   100.0424
       67   283.5000     0.0000     5.5095    95.3611
       68   284.0000     0.0000     5.3738    90.7216
       69   284.5000     0.0000     5.2360    86.1292
       70   285.0000     0.0000     5.0962    81.5896
       71   285.5000     0.0000     4.9542    77.1086
       72   286.0000     0.0000     4.8103    72.6926
       73   286.5000     0.0000     4.6643    68.3480
       74   287.0000     0.0000     4.5164    64.0820
       75   287.5000     0.0000     4.3666    59.9026
       76   288.0000     0.0000     4.2152    55.8187
       77   288.5000     0.0000     4.0622    51.8406
       78   289.0000     0.0000     3.9081    47.9811
       79   289.5000     0.0000     3.7533    44.2576
       80   290.0000     0.0000     3.5993    40.7000
       81   290.5000     0.0000     3.4485    37.3598
       82   291.0000     0.0000     3.2990    34.1912
       83   291.5000     0.0000     3.1499    31.1697
       84   292.0000     0.0000     3.0005    28.2838
       85   292.5000     0.0000     2.8505    25.5264
       86   293.0000     0.0000     2.6995    22.8931
       87   293.5000     0.0000     2.5471    20.3813
       88   294.0000     0.0000     2.3930    17.9895
       89   294.5000     0.0000     2.2367    15.7172
       90   295.0000     0.0000     2.0780    13.5652
       91   295.5000     0.0000     1.9162    11.5351
       92   296.0000     0.0000     1.7508     9.6296
       93   296.5000     0.0000     1.5810     7.8525
       94   297.0000     0.0000     1.4059     6.2094
       95   297.5000     0.0000     1.2241     4.7076
       96   298.0000     0.0000     1.0338     3.3576
       97   298.5000     0.0000     0.8319     2.1740
       98   299.0000     0.0000     0.6128     1.1798
       99   299.5000     0.0000     0.3639     0.4159
      100   300.0000     0.0000     0.0000     0.0000
 Leaving OVL10 (START)
 Entering OVL20 (FUSFIT)
 Leaving OVL20 (FUSFIT)
 Entering OVL30 (SLOPE)
 Leaving OVL30 (SLOPE)
 Entering OVL40 (XMAT)
 Leaving OVL40 (XMAT)
 Entering OVL50 (ADIST)
 Leaving OVL50 (ADIST)
 Entering OVL60 (OUT)
  SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  

          CASE NO. M1.2    CYCLE   1
          MACH =  1.200      NX = 50      NTHETA = 16


          S(X) COMPONENT BUILD UP AT THETA = -90.000

          S(B),CAPTURE = 628.3199      S(P),CAPTURE =   0.0000

       X         S(B)       S(BW)     S(BWP)    S(BWPF)   S(BWPFC)
     0.0000      0.000      0.000      0.000      0.000      0.000
     6.0000     19.100     19.100     19.100     19.100     19.100
    12.0000     58.976     58.976     58.976     58.976     58.976
    18.0000    112.980    112.980    112.980    112.980    112.980
    24.0000    169.650    169.650    169.650    169.650    169.650
    30.0000    221.811    221.811    221.811    221.811    221.811
    36.0000    264.419    264.419    264.419    264.419    264.419
    42.0000    293.503    293.503    293.503    293.503    293.503
    48.0000    308.490    308.490    308.490    308.490    308.490
    54.0000    313.701    313.701    313.701    313.701    313.701
    60.0000    314.160    314.160    314.160    314.160    314.160
    66.0000    314.160    314.160    314.160    314.160    314.160
    72.0000    314.160    314.160    314.160    314.160    314.160
    78.0000    314.160    314.160    314.160    314.160    314.160
    84.0000    314.160    314.160    314.160    314.160    314.160
    90.0000    314.160    314.160    314.160    314.160    314.160
    96.0000    314.160    314.160    314.160    314.160    314.160
   102.0000    314.160    314.560    314.560    314.560    314.560
   108.0000    314.160    320.560    320.560    320.560    320.560
   114.0000    314.160    333.760    333.760    333.760    333.760
   120.0000    314.160    354.160    354.160    354.160    354.160
   126.0000    314.160    381.760    381.760    381.760    381.760
   132.0000    314.160    416.560    416.560    416.560    416.560
   138.0000    314.160    458.560    458.560    458.560    458.560
   144.0000    314.160    507.760    507.760    507.760    507.760
   150.0000    314.160    564.160    564.160    564.160    564.160
   156.0000    314.160    627.760    627.760    627.760    627.760
   162.0000    314.160    698.560    698.560    698.560    698.560
   168.0000    314.160    776.560    776.560    776.560    776.560
   174.0000    314.160    855.360    855.360    855.360    855.360
   180.0000    314.160    914.160    914.160    914.160    914.160
   186.0000    314.160    951.360    951.360    951.360    951.360
   192.0000    314.160    966.960    966.960    966.960    966.960
   198.0000    314.160    960.960    960.960    960.960    960.960
   204.0000    314.160    933.360    933.360    933.360    933.360
   210.0000    314.160    884.160    884.160    884.160    884.160
   216.0000    314.160    813.360    813.360    813.360    813.360
   222.0000    314.160    720.960    720.960    720.960    720.960
   228.0000    314.160    606.960    606.960    606.960    606.960
   234.0000    314.160    471.360    471.360    471.360    471.360
   240.0000    314.160    314.160    314.160    314.160    314.160
   246.0000    313.701    313.701    313.701    313.701    313.701
   252.0000    308.490    308.490    308.490    308.490    308.490
   258.0000    293.502    293.502    293.502    293.502    293.502
   264.0000    264.419    264.419    264.419    264.419    264.419
   270.0000    221.811    221.811    221.811    221.811    221.811
   276.0000    169.650    169.650    169.650    169.650    169.650
   282.0000    112.980    112.980    112.980    112.980    112.980
   288.0000     58.977     58.977     58.977     58.977     58.977
   294.0000     19.100     19.100     19.100     19.100     19.100
   300.0000      0.000      0.000      0.000      0.000      0.000
  SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  

          CASE NO. M1.2    CYCLE   1
          MACH =  1.200      NX = 50      NTHETA = 16


          S(X) COMPONENT BUILD UP AT THETA = -45.000

          S(B),CAPTURE = 628.3199      S(P),CAPTURE =   0.0000

       X         S(B)       S(BW)     S(BWP)    S(BWPF)   S(BWPFC)
     0.0000      0.000      0.000      0.000      0.000      0.000
     6.2071     20.129     20.129     20.129     20.129     20.129
    12.4142     62.414     62.414     62.414     62.414     62.414
    18.6214    118.857    118.857    118.857    118.857    118.857
    24.8285    177.266    177.266    177.266    177.266    177.266
    31.0356    229.994    229.994    229.994    229.994    229.994
    37.2427    271.560    271.560    271.560    271.560    271.560
    43.4499    298.437    298.437    298.437    298.437    298.437
    49.6570    310.633    310.633    310.633    310.633    310.633
    55.8641    314.124    314.124    314.124    314.124    314.124
    62.0712    314.160    314.160    314.160    314.160    314.160
    68.2784    314.160    314.160    314.160    314.160    314.160
    74.4855    314.160    314.160    314.160    314.160    314.160
    80.6926    314.160    314.160    314.160    314.160    314.160
    86.8997    314.160    314.160    314.160    314.160    314.160
    93.1069    314.160    314.160    314.160    314.160    314.160
    99.3140    314.160    315.670    315.670    315.670    315.670
   105.5211    314.160    324.003    324.003    324.003    324.003
   111.7282    314.160    341.231    341.231    341.231    341.231
   117.9354    314.160    368.339    368.339    368.339    368.339
   124.1425    314.160    405.325    405.325    405.325    405.325
   130.3496    314.160    452.191    452.191    452.191    452.191
   136.5567    314.160    508.935    508.935    508.935    508.935
   142.7639    314.160    575.559    575.559    575.559    575.559
   148.9710    314.160    652.062    652.062    652.062    652.062
   155.1781    314.160    738.443    738.443    738.443    738.443
   161.3852    314.160    834.704    834.704    834.704    834.704
   167.5924    314.160    924.012    924.012    924.012    924.012
   173.7995    314.160    880.039    880.039    880.039    880.039
   180.0066    314.160    830.341    830.341    830.341    830.341
   186.2137    314.160    783.611    783.611    783.611    783.611
   192.4209    314.160    739.765    739.765    739.765    739.765
   198.6280    314.160    698.805    698.805    698.805    698.805
   204.8351    314.160    660.729    660.729    660.729    660.729
   211.0422    314.160    625.539    625.539    625.539    625.539
   217.2494    314.160    593.234    593.234    593.234    593.234
   223.4565    314.160    563.814    563.814    563.814    563.814
   229.6636    314.160    537.280    537.280    537.280    537.280
   235.8707    314.160    513.596    513.596    513.596    513.596
   242.0779    314.160    487.982    487.982    487.982    487.982
   248.2850    312.521    456.777    456.777    456.777    456.777
   254.4921    303.882    420.729    420.729    420.729    420.729
   260.6992    282.085    374.408    374.408    374.408    374.408
   266.9064    245.348    316.034    316.034    316.034    316.034
   273.1135    195.653    247.585    247.585    247.585    247.585
   279.3206    138.401    174.465    174.465    174.465    174.465
   285.5277     80.333    103.414    103.414    103.414    103.414
   291.7349     31.672     44.655     44.655     44.655     44.655
   297.9420      3.830      9.600      9.600      9.600      9.600
   304.1491      0.000      1.443      1.443      1.443      1.443
   310.3562      0.000      0.000      0.000      0.000      0.000
  SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  

          CASE NO. M1.2    CYCLE   1
          MACH =  1.200      NX = 50      NTHETA = 16


          S(X) COMPONENT BUILD UP AT THETA =   0.000

          S(B),CAPTURE = 628.3199      S(P),CAPTURE =   0.0000

       X         S(B)       S(BW)     S(BWP)    S(BWPF)   S(BWPFC)
     0.0000      0.000      0.000      0.000      0.000      0.000
     6.7900     23.146     23.146     23.146     23.146     23.146
    13.5800     72.418     72.418     72.418     72.418     72.418
    20.3699    135.461    135.461    135.461    135.461    135.461
    27.1599    198.033    198.033    198.033    198.033    198.033
    33.9499    251.316    251.316    251.316    251.316    251.316
    40.7398    288.509    288.509    288.509    288.509    288.509
    47.5298    307.779    307.779    307.779    307.779    307.779
    54.3198    313.807    313.807    313.807    313.807    313.807
    61.1098    314.160    314.160    314.160    314.160    314.160
    67.8997    314.160    314.160    314.160    314.160    314.160
    74.6897    314.160    314.160    314.160    314.160    314.160
    81.4797    314.160    314.160    314.160    314.160    314.160
    88.2697    314.160    314.160    314.160    314.160    314.160
    95.0596    314.160    314.586    314.586    314.586    314.586
   101.8496    314.160    324.847    324.847    324.847    324.847
   108.6396    314.160    348.923    348.923    348.923    348.923
   115.4296    314.160    388.777    388.777    388.777    388.777
   122.2196    314.160    445.096    445.096    445.096    445.096
   129.0095    314.160    517.881    517.881    517.881    517.881
   135.7995    314.160    607.132    607.132    607.132    607.132
   142.5895    314.160    709.859    709.859    709.859    709.859
   149.3795    314.160    781.004    781.004    781.004    781.004
   156.1694    314.160    805.415    805.415    805.415    805.415
   162.9594    314.160    783.091    783.091    783.091    783.091
   169.7494    314.160    738.976    738.976    738.976    738.976
   176.5394    314.160    704.482    704.482    704.482    704.482
   183.3293    314.160    675.856    675.856    675.856    675.856
   190.1193    314.160    649.026    649.026    649.026    649.026
   196.9093    314.160    623.993    623.993    623.993    623.993
   203.6992    314.160    600.755    600.755    600.755    600.755
   210.4892    314.160    579.313    579.313    579.313    579.313
   217.2792    314.160    559.668    559.668    559.668    559.668
   224.0692    314.160    541.818    541.818    541.818    541.818
   230.8591    314.160    525.764    525.764    525.764    525.764
   237.6491    314.160    510.124    510.124    510.124    510.124
   244.4391    314.088    489.732    489.732    489.732    489.732
   251.2291    309.553    461.314    461.314    461.314    461.314
   258.0190    293.432    422.743    422.743    422.743    422.743
   264.8090    259.450    368.106    368.106    368.106    368.106
   271.5990    208.653    298.452    298.452    298.452    298.452
   278.3890    147.242    219.979    219.979    219.979    219.979
   285.1790     83.478    140.950    140.950    140.950    140.950
   291.9689     30.225     74.226     74.226     74.226     74.226
   298.7589      1.823     34.150     34.150     34.150     34.150
   305.5489      0.000     22.450     22.450     22.450     22.450
   312.3388      0.000     14.368     14.368     14.368     14.368
   319.1288      0.000      8.082      8.082      8.082      8.082
   325.9188      0.000      3.592      3.592      3.592      3.592
   332.7088      0.000      0.898      0.898      0.898      0.898
   339.4987      0.000      0.000      0.000      0.000      0.000
  SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  

          CASE NO. M1.2    CYCLE   1
          MACH =  1.200      NX = 50      NTHETA = 16


          S(X) COMPONENT BUILD UP AT THETA =  45.000

          S(B),CAPTURE = 628.3199      S(P),CAPTURE =   0.0000

       X         S(B)       S(BW)     S(BWP)    S(BWPF)   S(BWPFC)
     0.0000      0.000      0.000      0.000      0.000      0.000
     6.2071     20.129     20.129     20.129     20.129     20.129
    12.4142     62.414     62.414     62.414     62.414     62.414
    18.6214    118.857    118.857    118.857    118.857    118.857
    24.8285    177.266    177.266    177.266    177.266    177.266
    31.0356    229.994    229.994    229.994    229.994    229.994
    37.2427    271.560    271.560    271.560    271.560    271.560
    43.4499    298.437    298.437    298.437    298.437    298.437
    49.6570    310.633    310.633    310.633    310.633    310.633
    55.8641    314.124    314.124    314.124    314.124    314.124
    62.0712    314.160    314.160    314.160    314.160    314.160
    68.2784    314.160    314.160    314.160    314.160    314.160
    74.4855    314.160    314.160    314.160    314.160    314.160
    80.6926    314.160    314.160    314.160    314.160    314.160
    86.8997    314.160    314.160    314.160    314.160    314.160
    93.1069    314.160    314.160    314.160    314.160    314.160
    99.3140    314.160    315.670    315.670    315.670    315.670
   105.5211    314.160    324.003    324.003    324.003    324.003
   111.7282    314.160    341.231    341.231    341.231    341.231
   117.9354    314.160    368.339    368.339    368.339    368.339
   124.1425    314.160    405.325    405.325    405.325    405.325
   130.3496    314.160    452.191    452.191    452.191    452.191
   136.5567    314.160    508.935    508.935    508.935    508.935
   142.7639    314.160    575.559    575.559    575.559    575.559
   148.9710    314.160    652.062    652.062    652.062    652.062
   155.1781    314.160    738.443    738.443    738.443    738.443
   161.3852    314.160    834.704    834.704    834.704    834.704
   167.5924    314.160    924.012    924.012    924.012    924.012
   173.7995    314.160    880.039    880.039    880.039    880.039
   180.0066    314.160    830.341    830.341    830.341    830.341
   186.2137    314.160    783.611    783.611    783.611    783.611
   192.4209    314.160    739.765    739.765    739.765    739.765
   198.6280    314.160    698.805    698.805    698.805    698.805
   204.8351    314.160    660.729    660.729    660.729    660.729
   211.0422    314.160    625.539    625.539    625.539    625.539
   217.2494    314.160    593.234    593.234    593.234    593.234
   223.4565    314.160    563.814    563.814    563.814    563.814
   229.6636    314.160    537.280    537.280    537.280    537.280
   235.8707    314.160    513.596    513.596    513.596    513.596
   242.0779    314.160    487.982    487.982    487.982    487.982
   248.2850    312.521    456.777    456.777    456.777    456.777
   254.4921    303.882    420.729    420.729    420.729    420.729
   260.6992    282.085    374.408    374.408    374.408    374.408
   266.9064    245.348    316.034    316.034    316.034    316.034
   273.1135    195.653    247.585    247.585    247.585    247.585
   279.3206    138.401    174.465    174.465    174.465    174.465
   285.5277     80.333    103.414    103.414    103.414    103.414
   291.7349     31.672     44.655     44.655     44.655     44.655
   297.9420      3.830      9.600      9.600      9.600      9.600
   304.1491      0.000      1.443      1.443      1.443      1.443
   310.3562      0.000      0.000      0.000      0.000      0.000
  SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  

          CASE NO. M1.2    CYCLE   1
          MACH =  1.200      NX = 50      NTHETA = 16


          S(X) COMPONENT BUILD UP AT THETA =  90.000

          S(B),CAPTURE = 628.3199      S(P),CAPTURE =   0.0000

       X         S(B)       S(BW)     S(BWP)    S(BWPF)   S(BWPFC)
